cell_line,n_pools,diff_efficiency,diff_efficiency_se
HPSI0514i-wiii_3,2.0,0.030024675326248515,0.002580520410424632
HPSI0514i-yewo_4,1.0,0.8508341511285574,0.011160150895472688
HPSI0613i-aevs_1,1.0,0.12644281217208814,0.007612569940755012
HPSI0613i-bawa_1,1.0,0.8816946442845723,0.00913130079978434
HPSI0613i-bohf_1,1.0,0.5606796116504854,0.014116883346283552
HPSI0613i-eojr_2,1.0,0.8043478260869565,0.05849050475823138
HPSI0613i-hegp_3,1.0,0.7518518518518519,0.026286924275148296
HPSI0613i-hikj_2,1.0,0.9173387096774194,0.012364458805055262
HPSI0613i-lizq_3,1.0,0.5578635014836796,0.027053733497074055
HPSI0614i-juzt_4,1.0,0.11662726556343578,0.009010341072873584
HPSI0614i-liqa_1,1.0,0.6118556701030928,0.011064205988575172
HPSI0614i-lirf_5,1.0,0.09312638580931264,0.013684265332265038
HPSI0614i-miaj_4,1.0,0.050411522633744855,0.0070177758587456245
HPSI0614i-oicx_2,1.0,0.4810126582278481,0.05621381883942542
HPSI0614i-puhk_2,1.0,0.04933110367892977,0.006261948170518333
HPSI0614i-qunz_2,1.0,0.47435897435897434,0.02826967988241272
HPSI0614i-uevq_6,1.0,0.05864763190894184,0.0023076758270219213
HPSI0614i-voce_1,1.0,0.15721231766612642,0.014654121664251424
HPSI0614i-wihj_4,1.0,0.755184331797235,0.01031979878716649
HPSI0714i-burb_1,2.0,0.11320092115633279,0.0072214882751497934
HPSI0714i-iudw_1,1.0,0.38898916967509023,0.014646144979866759
HPSI0714i-keui_4,1.0,0.07803297997644287,0.004602702962604333
HPSI0714i-kute_5,1.0,0.15,0.05645794895318108
HPSI0714i-oatm_1,1.0,0.11801242236024845,0.01467984706997158
HPSI0714i-pipw_4,1.0,0.6765409934171155,0.008091955015905788
HPSI0715i-aowh_2,1.0,0.6268910419853816,0.006305426184242169
HPSI0715i-meue_5,2.0,0.7322568612485689,0.00910337004697932
HPSI0715i-zaie_5,1.0,0.6553966189856957,0.017137548445450852
HPSI0814i-bokz_6,1.0,0.8340425531914893,0.02426937240308495
HPSI0814i-siqu_4,1.0,0.7890222984562607,0.01689774062028498
HPSI0913i-eika_2,1.0,0.5333333333333333,0.12881223774390613
HPSI0914i-iezw_2,1.0,0.2740331491712707,0.01482639807636488
HPSI0914i-jejf_2,1.0,0.8676671214188267,0.008850003962801686
HPSI0914i-kajh_2,1.0,0.75,0.04966996338993914
HPSI0914i-laey_6,2.0,0.5893388921977367,0.03392471451868677
HPSI0914i-ouvb_2,2.0,0.6421618562535371,0.01738203291895492
HPSI0914i-rejf_2,1.0,0.037096774193548385,0.007590380535530701
HPSI0914i-suop_5,1.0,0.8693586698337292,0.01642474908384057
HPSI0914i-vaka_5,1.0,0.4678811121764142,0.010924836399559094
HPSI0914i-yuvg_2,1.0,0.6591928251121076,0.03174009110111126
HPSI0914i-zerv_7,2.0,0.5016447368421053,0.016868020179388703
HPSI1013i-garx_2,1.0,0.16552369077306733,0.00656175342662108
HPSI1013i-hiaf_1,2.0,0.5081284963950103,0.011228524504612347
HPSI1013i-jogf_2,1.0,0.036885245901639344,0.012066197965637845
HPSI1013i-sita_1,1.0,0.031496062992125984,0.004900912739040211
HPSI1013i-woci_1,1.0,0.7446043165467626,0.018494055448130063
HPSI1013i-wopl_2,1.0,0.02962962962962963,0.008425668406301054
HPSI1013i-zagm_1,1.0,0.8181818181818182,0.08223036670302644
HPSI1014i-babz_3,1.0,0.7322913202527436,0.008074329259743995
HPSI1014i-bilx_1,1.0,0.04938271604938271,0.02407397637144615
HPSI1014i-eesb_1,1.0,0.5303832576903681,0.005603705928008685
HPSI1014i-kefb_1,1.0,0.0425531914893617,0.013167079739473958
HPSI1014i-nosn_1,1.0,0.4230769230769231,0.05593985325795573
HPSI1014i-qayj_4,1.0,0.8468129885748648,0.0044159953437580765
HPSI1014i-quls_2,1.0,0.01972127267946358,0.0015942781631013492
HPSI1014i-roug_3,1.0,0.86732352544203,0.003941011728653243
HPSI1014i-sehl_6,1.0,0.8702290076335878,0.005993276605841326
HPSI1014i-tixi_4,1.0,0.39293598233995586,0.02294716535046083
HPSI1014i-tuju_1,1.0,0.02,0.004801960383990248
HPSI1014i-vils_1,1.0,0.3187214611872146,0.014081890030041238
HPSI1113i-hayt_3,1.0,0.2584448693435309,0.007815004094108288
HPSI1113i-ieki_3,1.0,0.5454545454545454,0.03876376661011099
HPSI1113i-podx_1,1.0,0.6970330129544505,0.009394052403649452
HPSI1113i-qolg_1,1.0,0.6388888888888888,0.046219071394666474
HPSI1113i-vuud_2,1.0,0.5920360631104433,0.013470879159865265
HPSI1114i-kuul_1,2.0,0.6297668420582413,0.011055819117151809
HPSI1114i-ualf_6,1.0,0.5829145728643216,0.03495331945233989
