cell_line,n_pools,diff_efficiency,diff_efficiency_se
HPSI0215i-oilg_1,1.0,0.05901116427432217,0.009410778608152488
HPSI0215i-romx_1,1.0,0.053809270111880664,0.005208177280174905
HPSI0215i-uiao_2,1.0,0.13857998289136014,0.007145546964166184
HPSI0215i-yoch_6,1.0,0.02148997134670487,0.005488742383164206
HPSI0215i-zett_5,2.0,0.051653071695459976,0.0026382740925675126
HPSI0314i-bubh_3,1.0,0.04770992366412214,0.009311579310303493
HPSI0314i-cuhk_2,1.0,0.11141181777176365,0.006682408949598076
HPSI0314i-hoik_1,1.0,0.06940371456500488,0.007945737218831095
HPSI0314i-qaqx_1,2.0,0.2801841560422796,0.024947023312928755
HPSI0314i-sojd_3,2.0,0.07810606060606061,0.008188621845661234
HPSI0314i-uict_1,1.0,0.16666666666666666,0.03803628871563654
HPSI0314i-xagu_1,1.0,0.06896551724137931,0.04705436132558711
HPSI0314i-xugn_2,1.0,0.02865995352439969,0.004643658426834546
HPSI0414i-ceik_1,1.0,0.1,0.020225995873897264
HPSI0414i-gesg_2,1.0,0.04895104895104895,0.018043235517931123
HPSI0414i-mita_1,1.0,0.01328986960882648,0.0012822201008355857
HPSI0414i-oaqd_2,1.0,0.021929824561403508,0.0068583582244825915
HPSI0414i-sebn_3,1.0,0.2360248447204969,0.011155377854161869
HPSI0414i-uawq_2,1.0,0.08876881512929372,0.005587413233524025
HPSI0414i-xojn_3,2.0,0.5289510006901311,0.014539429116070713
HPSI0513i-dipe_1,1.0,0.3136842105263158,0.021289306759512554
HPSI0513i-fejf_2,1.0,0.2478813559322034,0.019874403802667237
HPSI0513i-giuf_1,1.0,0.7416666666666667,0.03995802195452771
HPSI0513i-momt_2,1.0,0.38653084323712505,0.011584309941531316
HPSI0513i-oibg_1,1.0,0.07019328585961343,0.008148306683638303
HPSI0513i-sucd_3,1.0,0.4974182444061962,0.02074321880932468
HPSI0513i-uoxz_4,1.0,0.6226685796269728,0.018360037836108345
HPSI0513i-veve_2,1.0,0.7190860215053764,0.016477473837345668
HPSI0514i-fiaj_1,2.0,0.0806708584312553,0.002281932987377025
HPSI0514i-lako_1,2.0,0.18351851768927674,0.007101581072490369
HPSI0514i-naah_2,1.0,0.46130952380952384,0.027195448184226256
HPSI0514i-oekw_2,1.0,0.10533159947984395,0.011069989752572349
HPSI0514i-oupf_6,1.0,0.4645669291338583,0.031293913868870156
HPSI0514i-qihv_1,1.0,0.03288201160541586,0.00784284529229739
HPSI0514i-rutc_2,1.0,0.46078431372549017,0.02014904147763242
HPSI0514i-sohd_2,1.0,0.4376321353065539,0.022810472422151486
HPSI0514i-suul_1,1.0,0.012345679012345678,0.01226923444444329
HPSI0514i-tert_1,1.0,0.08678102926337034,0.008942584107405565
HPSI0514i-uenn_3,2.0,0.11695741551277117,0.010362065311653757
HPSI0514i-wiii_3,2.0,0.023558896304713795,0.0021743896101660523
HPSI0514i-yewo_4,1.0,0.07065750736015702,0.008027493483820682
HPSI0613i-aevs_1,1.0,0.12434417628541448,0.007558193337111209
HPSI0613i-bawa_1,1.0,0.2797761790567546,0.012691426913379275
HPSI0613i-bohf_1,1.0,0.5226537216828478,0.014207398389853883
HPSI0613i-eojr_2,1.0,0.6739130434782609,0.06911777178312148
HPSI0613i-hegp_3,1.0,0.3148148148148148,0.028265044973654275
HPSI0613i-hikj_2,1.0,0.25806451612903225,0.01964745846878169
HPSI0613i-lizq_3,1.0,0.49851632047477745,0.027236615622157585
