cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_DA,phat_Epen1,phat_FPP,phat_P_FPP,phat_Sert,phat_U_Neur1,phat_U_Neur2,scheme,repeat,fold,split,fit_population,label_variant
HPSI0214i-datg_2,pool9,3.862225449613375,-1.2034720118186106,0.5003336776145054,0.7776462801016794,1.3219568817149057,-0.4239012769440005,-0.8076639042495796,0.6569404927716682,-0.43494428756656944,0.018242055100395636,0.42776801405975395,0.033391915641476276,0.20949033391915642,0.0843585237258348,0.20527240773286468,0.03936731107205624,0.000351493848857645,plain,0,0,train,qualifying_only,da_untreated
HPSI0214i-eiwy_1,pool1,5.808839613066945,-2.9574589508337734,-3.4883412889679044,1.5375906490139029,0.8711893397141378,-0.7285986726801129,-0.046630095192373745,0.9464477388457284,-0.42958120334943434,-0.38810882469718827,0.42738589211618255,0.016597510373443983,0.08713692946058091,0.07468879668049792,0.36929460580912865,0.02074688796680498,0.004149377593360996,plain,0,0,test,qualifying_only,da_untreated
HPSI0214i-feec_2,pool4,4.655202171442661,2.9231167410555545,3.380165530333819,-0.653057472206148,-2.1223741424739986,0.5280117329345854,0.9698102893767824,-2.562509095130438,1.5389611424476182,-1.0023640455998795,0.16524216524216523,0.15527065527065528,0.23931623931623933,0.0698005698005698,0.004273504273504274,0.349002849002849,0.017094017094017096,plain,0,0,train,qualifying_only,da_untreated
HPSI0214i-feec_2,pool5,-2.5787338082898996,-0.7294784939204471,2.9147706489053036,-2.2006953185034996,-1.568364315329623,1.9373622853963648,-1.8733723903698642,-1.082137358161827,-0.8547078914938466,-3.0404307358509226,0.19270833333333334,0.125,0.3333333333333333,0.0625,0.046875,0.234375,0.005208333333333333,plain,0,0,train,qualifying_only,da_untreated
HPSI0214i-giju_3,pool4,2.0847291190889523,-4.834336135250173,-4.205375039169803,1.2699628526026827,0.013522767574335699,-0.8821619990365416,-0.3275012591381588,0.5292820379719504,-0.9347493390791309,-2.273290175770321,0.330835734870317,0.023054755043227664,0.10605187319884726,0.07319884726224783,0.45187319884726224,0.01440922190201729,0.0005763688760806917,plain,0,0,train,qualifying_only,da_untreated
HPSI0214i-heth_1,pool6,-9.682513627485049,5.701374560272292,2.252768989089101,-0.7139459832551561,0.28630521023753325,-1.145441560426639,0.42585201419346375,-0.7142047536145428,-0.41863785652972074,-1.004783382312435,0.015100671140939598,0.30201342281879195,0.4865771812080537,0.11241610738255034,0.02348993288590604,0.06040268456375839,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0214i-pelm_3,pool2,8.654697081427638,0.4342079848974137,-2.8234243173483398,1.0300219128988837,4.173056214962892,-0.8885131473348336,0.4622296313602278,0.7324507646749951,1.138426742134525,2.027507910847253,0.549800796812749,0.034528552456839307,0.09216467463479415,0.0350597609561753,0.27304116865869854,0.014342629482071713,0.0010624169986719787,plain,0,0,train,qualifying_only,da_untreated
HPSI0214i-pelm_3,pool3,5.4339295985015825,-1.0868532758386817,-5.76902530493962,1.7739862428884012,3.1869352519503207,-2.88404146929906,1.5061432223623286,0.1480500522796736,1.039040592806984,1.973103579898403,0.3878787878787879,0.041666666666666664,0.08409090909090909,0.05,0.42045454545454547,0.015909090909090907,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0214i-poih_2,pool5,1.9970280736402959,-2.0525705674711126,-1.1288516284292152,-1.545494219057824,0.17522128494511255,-0.22463533365346836,-2.402098236839767,0.30449353976234494,-1.6925439436299028,-3.427344640933486,0.5695287655391732,0.03469210754553339,0.11246024862677075,0.03151199768719283,0.23590633130962707,0.014165943914426134,0.0017346053772766695,plain,0,0,train,qualifying_only,da_untreated
HPSI0214i-rayr_1,pool2,17.263847178361313,4.34518651812493,-0.6004317520589874,0.9829278633919336,2.1633083914374924,-4.443778886672947,-3.065800884495342,0.276436731573381,1.4777020239447438,2.736077767595194,0.8172888015717092,0.029469548133595286,0.047151277013752456,0.015717092337917484,0.08644400785854617,0.003929273084479371,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0215i-deyz_2,pool4,1.1254713324363776,-3.112385519358075,-1.80652694211205,0.571146798267048,2.482334724915828,1.7591213020742928,0.2683218602864568,0.4074691202230413,-0.4139438617621113,-2.9510700129489695,0.31564604039756333,0.037191407502404614,0.2207438281500481,0.07951266431548573,0.3284706636742546,0.01827508816928503,0.0001603077909586406,plain,0,0,train,qualifying_only,da_untreated
HPSI0215i-fawm_2,pool4,5.050987276928414,-3.899969530031264,-4.272685061508697,0.14896358276966248,1.9247348909669135,-0.04335103417490016,0.9020698852712496,1.4752610611916293,-1.946699121295606,-2.9346181360970003,0.49476987447698745,0.0010460251046025104,0.034518828451882845,0.034518828451882845,0.4341004184100418,0.0010460251046025104,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0215i-hipn_1,pool6,-5.350635444583643,1.079179395223257,0.358258496804322,0.2813164231548858,-0.15143496868359324,-0.08962692174927693,-0.5225435013555623,0.20782964292525904,0.3815368297378588,-0.6118531433044615,0.18304431599229287,0.20616570327552985,0.279383429672447,0.11560693641618497,0.17726396917148363,0.038535645472061654,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0215i-hipn_1,pool7,10.323657691324623,3.013341954212342,1.0447923974693352,0.547492946126892,0.4196749404285974,-1.9469883333426605,-2.1595686953125055,0.5032560216753428,0.049403710278665636,-0.37801006624229955,0.6655376799322608,0.05927180355630821,0.14479254868755292,0.04826418289585097,0.04741744284504657,0.03471634208298052,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0215i-oilg_1,pool9,-4.571305693295369,4.338471669703825,3.2612416145576413,-1.4725549062987777,-1.7575981234655513,-0.35758150497169333,0.8809657010071108,-0.7458992977730703,0.2775000048729355,1.526076648591484,0.07537361923326835,0.29759584145549056,0.3950617283950617,0.06172839506172839,0.01299545159194282,0.15334632878492527,0.003898635477582846,plain,0,0,train,qualifying_only,da_untreated
HPSI0215i-romx_1,pool8,-6.837555569264693,4.109316078202506,2.074985255231067,-0.8509267321406107,-1.292066732789238,0.5338872481899677,0.27330064039075525,-0.7494968747269709,-0.28160228725672903,-0.49778739855013615,0.05277973258268825,0.3103448275862069,0.40816326530612246,0.07741027445460943,0.03518648838845883,0.11541168191414497,0.0007037297677691766,plain,0,0,train,qualifying_only,da_untreated
HPSI0215i-uiao_2,pool7,-0.42729495475243284,0.21977199326055386,-2.0437836225087933,1.1014527510340824,1.2475314443421168,1.470276350372869,0.2350425388597285,-1.3518717996112168,0.8856645712949832,-0.1391318913580684,0.20563230605738575,0.14558979808714134,0.1997874601487779,0.0818278427205101,0.2784272051009564,0.08660998937300744,0.0021253985122210413,plain,0,0,train,qualifying_only,da_untreated
HPSI0215i-yoch_6,pool6,-11.145762597068689,7.492160019802924,0.29994856710089784,-2.631141905480376,-0.8173747787725862,-1.4836469439410314,-0.5094713739516907,-0.8100907160671631,-1.8118539493614243,-0.1893198282058163,0.018113207547169812,0.4430188679245283,0.4271698113207547,0.04452830188679245,0.027924528301886794,0.038490566037735846,0.0007547169811320754,plain,0,0,train,qualifying_only,da_untreated
HPSI0215i-zett_5,pool8,-6.4700837906363375,-8.346516607514125,-4.056942500681622,2.2562136865180524,-2.694284591177672,0.8656421636158724,-3.8034358411249887,0.09212642642283417,-0.37162164900919437,-0.726974720097193,0.09129287598944591,0.04432717678100264,0.137467018469657,0.16358839050131926,0.5551451187335092,0.008179419525065963,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0215i-zett_5,pool9,-4.0173126098201575,-7.581087710158886,-4.393862585319947,3.5181579458817738,-1.6435885803021726,-0.3090347930293263,-2.1211914918422647,0.06066408856790831,0.469247903730252,0.4416144846254624,0.11386566733929086,0.03978091669068896,0.1098299221677717,0.17670798501008936,0.5479965407898529,0.01181896800230614,0.0,plain,0,0,train,qualifying_only,da_untreated
HPSI0314i-bubh_3,pool9,-3.2481401467843556,0.8748533823235799,5.467254683248959,-2.4391256482178854,-2.7503789336155853,0.4431622958957982,1.9002122139203437,0.5894242265173478,-0.012440025355084167,1.1854701235690073,0.01935812531839022,0.18288334182373917,0.5038206826286297,0.04737646459500764,0.015792154865002548,0.21395822720326033,0.016811003565970453,plain,0,0,train,qualifying_only,da_untreated
HPSI0314i-cuhk_2,pool4,4.411860290901045,0.7836446877556811,1.2431126720598116,-0.05603646375190232,0.32263207909200736,-0.31493038239698956,-0.2556825551025086,-0.462288720261202,0.18491059372100832,-1.7046891330434286,0.36188023180940115,0.09723116548615583,0.23889246619446233,0.0669671603348358,0.11526078557630393,0.10946555054732775,0.0103026400515132,plain,0,0,test,qualifying_only,da_untreated
HPSI0314i-hoik_1,pool9,1.4267094793740565,-0.2974623845512734,6.1358560182521025,-1.3374542222961376,-4.680689457642131,2.2837345864255236,2.397505437550952,0.184210169504108,-0.08758097865117079,1.0693259167034437,0.023616236162361623,0.06691266912669126,0.38302583025830256,0.06912669126691266,0.011808118081180811,0.3148831488314883,0.13062730627306274,plain,0,0,train,qualifying_only,da_untreated
