cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_FPP,phat_NB,phat_P_FPP,scheme,repeat,fold,split,fit_population,label_variant
HPSI0514i-oupf_6,pool9,3.1541179603784855,1.006086189054031,-1.8346829272435632,0.42597174043983604,2.1859318815096147,1.4683316770304689,0.9539824767069962,-1.2342666090499466,-0.30545820569292037,0.030305501297554358,0.47703375760929717,0.0005534034311012728,0.5224128389596016,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-qihv_1,pool6,-0.6859990611570909,-1.8014709781304665,-0.8093703721016747,-0.3980930185029519,-1.0445695463960967,-1.682353798687985,0.9021560828040174,-1.381860504588443,0.5507250589873058,0.05307146566323085,0.5074626865671642,0.04477611940298507,0.44776119402985076,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-rutc_2,pool7,-0.4814235327030787,6.9752538651618865,1.5343580578839795,0.6167252666949853,-1.1535034744306247,0.6517574676671698,2.5913395773966665,-0.12053764999957971,1.0117943558737812,-0.09345385049568834,0.6414342629482072,0.0,0.35856573705179284,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-sohd_2,pool7,-0.6595194094823239,5.901303234861603,1.777277284364286,-0.6895236762875425,-0.5410275359481906,-0.7876188206899702,-0.01328412178102851,-0.06539771312720949,-0.054706383386295146,0.7092575740971275,0.6554621848739496,0.0,0.3445378151260504,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-suul_1,pool6,-1.1926020832617061,1.1497487418428174,-0.3970657461385566,1.8256288280653072,-3.1956362392131683,-2.7603790030039264,2.724634197582728,-2.695506553479406,0.7904957547195892,-0.6289712332860605,0.6098901098901099,0.001098901098901099,0.389010989010989,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-tert_1,pool6,0.889216839587325,-0.12359677123685836,-1.183960880199651,0.325069259184978,-0.6256764770766434,-1.1290109476728862,0.13072255167990743,-1.5094976673434728,-0.5778966970122961,-0.18536328324132606,0.5364238410596026,0.003532008830022075,0.46004415011037525,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-uenn_3,pool2,-1.4107022851697737,2.741134206328773,4.965652761607647,1.2543128019810277,1.126870441089548,-2.2253129208992375,-1.2983437254922712,0.13049413815157912,-2.472457671075723,0.013204001273692575,0.5959595959595959,0.12457912457912458,0.27946127946127947,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-uenn_3,pool3,-1.081492560397057,1.271332704638498,1.7890129769604446,3.2537497917212006,-0.6151687917085287,-1.8326702923786922,0.212327089807485,-0.49036493753688776,-1.1959345784566653,-0.5018817801406283,0.5833333333333334,0.06159420289855073,0.35507246376811596,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-wiii_3,pool7,-3.316325340154021,-1.4600502163789761,7.444596741503016,-1.3188983960154976,1.4271295189901105,-1.4287825656596522,0.8048822991045839,0.04565736959725397,0.437443444527407,-0.2185699782315492,0.47096774193548385,0.23225806451612904,0.2967741935483871,donor_grouped,2,3,train,qualifying_only,da_untreated
HPSI0514i-wiii_3,pool8,-1.0547196125000182,-4.428076240659391,0.46907893642638504,-1.755276657113236,1.0438069285606222,0.8401541724065903,0.6177729097645177,0.5217641491798505,0.26370557858689964,0.7174955134442065,0.45537757437070936,0.13157894736842105,0.41304347826086957,donor_grouped,2,3,train,qualifying_only,da_untreated
