cell_line,pool,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,phat_DA,phat_Epen1,phat_FPP,phat_P_FPP,phat_Sert,phat_U_Neur1,phat_U_Neur2,scheme,repeat,fold,split,fit_population
HPSI0115i-iuad_2,pool7,-2.254370346599599,-5.8175344938920475,-4.6084921000102455,2.3532795104555877,1.2871673434534459,1.1989015603991748,0.6252203614458053,-0.07019995211931293,0.7093945797181044,-0.24996730607124754,0.20262919310970082,0.03218495013599275,0.05530371713508613,0.12194016319129647,0.5861287398005439,0.001813236627379873,0.0,lodo,0,8,train,qualifying_only
HPSI0115i-jakt_1,pool2,1.3025746332984929,-4.621372355039008,-5.876039030352035,3.0940733486972958,2.1323480651560303,-1.5770086726884887,-1.1088211487607365,0.47543112663771414,1.6217582836763216,-2.2504875206635995,0.2274216190921853,0.031820308844174076,0.0584932147870847,0.09499298081422555,0.5737014506317267,0.013102480112306972,0.0004679457182966776,lodo,0,8,train,qualifying_only
HPSI0115i-melw_1,pool5,2.5198047953078406,-1.05729410853321,0.8006600531190837,-2.1702377291138504,0.2012871998182838,1.6120888359491476,0.952618078022304,0.7248728026399769,-1.6168891031943737,3.0355264871016545,0.5846153846153846,0.015384615384615385,0.12307692307692308,0.03076923076923077,0.16923076923076924,0.07692307692307693,0.0,lodo,0,8,train,qualifying_only
HPSI0115i-paim_1,pool1,3.864794182071075,-2.5400501479281914,-2.487398436202448,0.030968622431004296,4.317343895664119,2.5181756494394065,-0.8607390329473855,0.9113253711780275,0.41578308547021325,-0.3006187122010498,0.4229198570699336,0.02679938744257274,0.11204696273608984,0.037008677896886166,0.3925472179683512,0.007912200102092905,0.0007656967840735069,lodo,0,8,train,qualifying_only
HPSI0115i-qecv_2,pool5,-0.7586634004547098,-2.6350214520812774,1.9712998170610434,-1.9638700874215165,1.1925371616008746,2.4019366060141216,2.6300462113778513,0.6043402915383216,-1.369609390759896,3.6008939454540205,0.4411764705882353,0.029411764705882353,0.2647058823529412,0.08823529411764706,0.14705882352941177,0.029411764705882353,0.0,lodo,0,8,train,qualifying_only
HPSI0115i-quze_6,pool9,-4.575218229298816,2.4485783215954338,0.45433026480673167,0.5994982279858713,-0.7690728734766863,-0.7771388914324017,0.5544031652332674,0.46436405343699505,-0.13024276662831882,-1.2745450226853097,0.12919463087248323,0.21644295302013422,0.28523489932885904,0.10738255033557047,0.21476510067114093,0.04530201342281879,0.0016778523489932886,lodo,0,8,train,qualifying_only
HPSI0115i-sehp_2,pool7,10.954460092497975,1.198969419441315,0.32508981730372927,0.34893834114899613,1.2467155086969062,-0.06448627709085818,1.8787106839716783,0.7808693723905242,-0.25495379873503793,0.8474934821493286,0.7265625,0.020182291666666668,0.11263020833333333,0.034505208333333336,0.09765625,0.008463541666666666,0.0,lodo,0,8,train,qualifying_only
HPSI0115i-tiku_3,pool9,-5.090828053801984,2.676633475689351,0.6306733556435861,0.3979824649971471,-0.8114065633414025,-0.6258378618852714,0.7259659807906639,0.9664937448749427,0.5856889529916384,-1.3071390114244232,0.0947867298578199,0.2132701421800948,0.3033175355450237,0.11374407582938388,0.1990521327014218,0.07109004739336493,0.004739336492890996,lodo,0,8,train,qualifying_only
HPSI0115i-uupc_2,pool7,2.806617989783171,0.8622936255638592,-0.42302071753016496,0.8674935819878926,2.5176876827071863,0.8928337431827033,0.20835917896084372,0.6364277393052058,-0.45801707010923226,0.8090288388581691,0.46774193548387094,0.10215053763440861,0.17204301075268819,0.08064516129032258,0.15053763440860216,0.026881720430107527,0.0,lodo,0,8,train,qualifying_only
HPSI0115i-zihe_1,pool6,-10.619776348968962,8.380751783096988,-0.43384958119537775,-2.0056047921120435,-0.5258994342574079,-0.9600210771218087,0.5625497443840595,-2.118474925156336,-1.184284750425282,0.3938964934374301,0.005917159763313609,0.4319526627218935,0.40828402366863903,0.0650887573964497,0.047337278106508875,0.04142011834319527,0.0,lodo,0,8,train,qualifying_only
