gene,gene_index,PC,loading,abs_loading
RP11-439L8.4,658,PC8,-5.601850125206303e-06,5.601850125206303e-06
PRKAG3,5111,PC8,-5.505482207362296e-06,5.505482207362296e-06
RP5-872K7.7,28781,PC8,5.403559676429574e-06,5.403559676429574e-06
RP11-686F15.3,20779,PC8,-5.376718667148376e-06,5.376718667148376e-06
ARHGAP26-AS1,9721,PC8,-5.322377804962443e-06,5.322377804962443e-06
RP11-386D6.2,15082,PC8,-5.167383354916427e-06,5.167383354916427e-06
RP11-580I1.1,23514,PC8,-4.991254245008841e-06,4.991254245008841e-06
PLA2G2D,425,PC8,4.9630994562417175e-06,4.9630994562417175e-06
RP11-180P8.1,27477,PC8,-4.859562620016432e-06,4.859562620016432e-06
PRLH,5310,PC8,-4.812458546774839e-06,4.812458546774839e-06
RP11-696D21.2,22915,PC8,4.768604395336962e-06,4.768604395336962e-06
RP11-215E13.1,26771,PC8,-4.701384069077776e-06,4.701384069077776e-06
RP11-6I2.4,14984,PC8,4.67087419386051e-06,4.67087419386051e-06
AC010745.4,3379,PC8,4.662304737537284e-06,4.662304737537284e-06
AC145205.1,32733,PC8,4.658690427967223e-06,4.658690427967223e-06
PHOX2B,7482,PC8,4.6028311384605186e-06,4.6028311384605186e-06
TESPA1,20826,PC8,-4.545144800935526e-06,4.545144800935526e-06
RP11-440D17.4,4097,PC8,-4.544033775569546e-06,4.544033775569546e-06
CDC20B,8890,PC8,-4.481172257726903e-06,4.481172257726903e-06
KIAA0196-AS1,15387,PC8,4.365206292453408e-06,4.365206292453408e-06
TBC1D28,26511,PC8,4.335229556500577e-06,4.335229556500577e-06
RP11-327F22.5,25398,PC8,4.271065754817694e-06,4.271065754817694e-06
RP11-104J23.2,26834,PC8,-4.12363254910643e-06,4.12363254910643e-06
AC008154.4,12943,PC8,4.047566814069274e-06,4.047566814069274e-06
TRPV5,13041,PC8,3.918542466275964e-06,3.918542466275964e-06
RP11-122A21.2,15278,PC8,3.8672022344546435e-06,3.8672022344546435e-06
MTRNR2L7,17194,PC8,3.842652821982681e-06,3.842652821982681e-06
CTD-2277K2.1,22905,PC8,3.755135443697997e-06,3.755135443697997e-06
RP11-395I14.2,14567,PC8,-3.7462533444207536e-06,3.7462533444207536e-06
RP11-89N17.2,12135,PC8,-3.7325268219847783e-06,3.7325268219847783e-06
RP11-429B14.4,24387,PC8,-3.6639619031942416e-06,3.6639619031942416e-06
RP11-729L2.2,28325,PC8,3.6399675349836285e-06,3.6399675349836285e-06
RP11-216N14.9,1978,PC8,-3.5140389774773615e-06,3.5140389774773615e-06
AC116407.2,26743,PC8,3.4161058132406323e-06,3.4161058132406323e-06
IQCJ,6750,PC8,3.407178188053713e-06,3.407178188053713e-06
CTD-2342N23.3,15450,PC8,3.3441134294966317e-06,3.3441134294966317e-06
ART1,18265,PC8,-3.2783026944260616e-06,3.2783026944260616e-06
RP11-252C15.1,14438,PC8,-3.2572415994220123e-06,3.2572415994220123e-06
RP11-94P11.4,19646,PC8,-3.1302460613654903e-06,3.1302460613654903e-06
RP11-536C5.2,2176,PC8,3.0714307444955406e-06,3.0714307444955406e-06
RP11-414H23.2,9200,PC8,-3.00738700926389e-06,3.00738700926389e-06
SOX14,6534,PC8,-2.996761413423676e-06,2.996761413423676e-06
RP11-386B13.3,8440,PC8,-2.9485658889716124e-06,2.9485658889716124e-06
RP4-617C6.1,1398,PC8,-2.838119799447693e-06,2.838119799447693e-06
AC009505.2,4229,PC8,-2.7092235139799154e-06,2.7092235139799154e-06
FAM129C,30094,PC8,2.686641116397421e-06,2.686641116397421e-06
TMEM26,17379,PC8,-2.6668430713323525e-06,2.6668430713323525e-06
CNGA3,4137,PC8,-2.5026273453326506e-06,2.5026273453326506e-06
AC006159.4,12793,PC8,-2.445928648792852e-06,2.445928648792852e-06
LA16c-349E10.1,24593,PC8,2.324743482901466e-06,2.324743482901466e-06
RP6-1O2.1,13289,PC8,-2.3037211301973107e-06,2.3037211301973107e-06
RP11-809C18.4,16869,PC8,2.2741257855111672e-06,2.2741257855111672e-06
RP11-274H24.1,10225,PC8,2.2681234171408536e-06,2.2681234171408536e-06
RP11-298H24.1,17899,PC8,-2.14540411669516e-06,2.14540411669516e-06
