gene,gene_index,PC,loading,abs_loading
RP11-252C15.1,14438,PC1,-1.1485492909664258e-07,1.1485492909664258e-07
AC009411.1,3428,PC1,-7.987733332592543e-08,7.987733332592543e-08
PDC,2511,PC1,-7.290409350865842e-08,7.290409350865842e-08
PRKAG3,5111,PC1,-7.013028657935862e-08,7.013028657935862e-08
CTC-498M16.2,9182,PC1,-5.194404095441369e-08,5.194404095441369e-08
RP11-386B13.3,8440,PC1,-3.6733239861874674e-08,3.6733239861874674e-08
RFPL4A,31284,PC1,3.264149232961181e-08,3.264149232961181e-08
CCND1,19309,PC10,0.13148998229313444,0.13148998229313444
TAGLN,19778,PC10,0.12639404875379356,0.12639404875379356
CTGF,11431,PC10,0.1263595798924296,0.1263595798924296
CYR61,1302,PC10,0.11775858197034292,0.11775858197034292
FTH1,18998,PC10,-0.10766934609780152,0.10766934609780152
CALD1,12952,PC10,0.10269789593260108,0.10269789593260108
MYL12A,27957,PC10,0.10262420866666046,0.10262420866666046
APOE,30758,PC10,-0.09840152891398964,0.09840152891398964
COTL1,25892,PC10,0.09837668368419401,0.09837668368419401
ACTG1,27826,PC10,0.09389185199752392,0.09389185199752392
TNFRSF12A,24750,PC10,0.09160184534957376,0.09160184534957376
CSRP1,2608,PC10,0.0907775534450704,0.0907775534450704
PTRF,27056,PC10,0.09013535907828563,0.09013535907828563
CCND2,20114,PC10,0.0891773707222833,0.0891773707222833
FTL,30933,PC10,-0.08858265998122161,0.08858265998122161
PALLD,8329,PC10,0.08834671422077237,0.08834671422077237
ACTN1,22973,PC10,0.08799352615596905,0.08799352615596905
PPDPF,29348,PC10,-0.08504250218995993,0.08504250218995993
C8orf4,14720,PC10,0.08256866651888506,0.08256866651888506
NES,2095,PC10,0.08215342910317519,0.08215342910317519
GPX4,29444,PC10,-0.08189378864138237,0.08189378864138237
NPC2,23056,PC10,-0.08182532592418591,0.08182532592418591
TUBB6,28063,PC10,0.0807314802185977,0.0807314802185977
VIM,17039,PC10,0.08036542355581054,0.08036542355581054
DUSP6,21187,PC10,0.08030662622193904,0.08030662622193904
TIMP3,31891,PC10,0.0783903512725824,0.0783903512725824
SERF2,23778,PC10,-0.0780041984737387,0.0780041984737387
CD63,20851,PC10,-0.07776900975331363,0.07776900975331363
ANXA3,7753,PC10,0.07681513240612378,0.07681513240612378
MYL9,28979,PC10,0.07554049197850518,0.07554049197850518
FAM60A,20495,PC10,0.07522809886127767,0.07522809886127767
UBB,26454,PC10,-0.07495651425852441,0.07495651425852441
CRABP2,2097,PC10,-0.07411986547029725,0.07411986547029725
PGAM1,17748,PC10,-0.07397269043581382,0.07397269043581382
LGALS1,31963,PC10,-0.0739552676450534,0.0739552676450534
CNN1,29854,PC10,0.0733045425261141,0.0733045425261141
HMGN2,564,PC10,-0.07288432224742177,0.07288432224742177
DKK1,17345,PC10,-0.07180178348960685,0.07180178348960685
PTMA,5237,PC10,-0.07176582645235265,0.07176582645235265
PSMA7,29293,PC10,-0.0712142270988181,0.0712142270988181
ACTA2,17647,PC10,0.07056625336367939,0.07056625336367939
ETFB,31072,PC10,-0.07000967467159305,0.07000967467159305
IGFBP5,5072,PC10,-0.06936148418604174,0.06936148418604174
NEU1,10642,PC10,-0.06907466845357266,0.06907466845357266
PRDX4,13379,PC10,-0.06876577436318397,0.06876577436318397
CLU,14586,PC10,-0.0687269419240814,0.0687269419240814
RNASE1,22447,PC10,-0.06839513110007395,0.06839513110007395
HSP90AA1,23384,PC10,-0.06800632565955472,0.06800632565955472
CALM3,30837,PC10,-0.06796426865238288,0.06796426865238288
FGFBP3,17681,PC10,0.0676404159576735,0.0676404159576735
PPA1,17442,PC10,0.06751242660337578,0.06751242660337578
NDUFA4,11938,PC10,-0.06740498257668533,0.06740498257668533
NGFRAP1,13864,PC10,-0.0661703035818343,0.0661703035818343
RPL12,16567,PC10,0.0656208641338949,0.0656208641338949
PMEL,20861,PC10,-0.06521633271706202,0.06521633271706202
ANKRD1,17672,PC10,0.06505407349202194,0.06505407349202194
SLC16A3,27878,PC10,-0.06498253407160366,0.06498253407160366
PRDX1,924,PC10,-0.06493448301818129,0.06493448301818129
TCEAL4,13867,PC10,-0.06481637769585565,0.06481637769585565
PIM1,10790,PC10,0.06466669857729894,0.06466669857729894
BRI3,12570,PC10,-0.06414944635515248,0.06414944635515248
IER3,10569,PC10,0.06410693647806116,0.06410693647806116
SRCAP,25233,PC10,-0.06393462985419893,0.06393462985419893
SHFM1,12556,PC10,-0.06350920932863739,0.06350920932863739
RPS3,19420,PC10,0.06347103526812187,0.06347103526812187
ACTC1,23620,PC10,0.06345206293907545,0.06345206293907545
CRISPLD1,14994,PC10,0.06328994607517632,0.06328994607517632
TPM1,23986,PC10,0.06323157238619882,0.06323157238619882
NQO1,25680,PC10,-0.06318576700550342,0.06318576700550342
IGFBP3,12246,PC10,0.06211821966014605,0.06211821966014605
TNNT1,31233,PC10,-0.0620960943344399,0.0620960943344399
IRS1,5192,PC10,0.06151002413758114,0.06151002413758114
RND3,4546,PC10,0.061428981447120556,0.061428981447120556
PTGES3,20904,PC10,-0.06119475381743743,0.06119475381743743
FAM162A,6372,PC10,-0.0606741840162715,0.0606741840162715
GAPDH,20155,PC10,-0.06049631091356265,0.06049631091356265
TUBA1B,20637,PC10,-0.05989645100417392,0.05989645100417392
UBL5,29781,PC10,-0.059517983279085446,0.059517983279085446
PSMB6,26176,PC10,-0.059040525312336195,0.059040525312336195
ANXA1,16088,PC10,0.05862295833845996,0.05862295833845996
BSG,29407,PC10,-0.05856282772805999,0.05856282772805999
DDX5,27518,PC10,0.05832704571808701,0.05832704571808701
C4orf3,8016,PC10,-0.05826374214352265,0.05826374214352265
LIX1,9252,PC10,0.05711890991741378,0.05711890991741378
BST2,30081,PC10,-0.057068868077670906,0.057068868077670906
HN1,27656,PC10,0.056993385642798156,0.056993385642798156
SNAPC1,22904,PC10,0.056795735265897575,0.056795735265897575
SDC2,15171,PC10,0.0567523914833768,0.0567523914833768
LSM4,30121,PC10,-0.05591717681404123,0.05591717681404123
EIF3E,15270,PC10,0.05554659198185801,0.05554659198185801
BNIP3,18086,PC10,-0.05524272269592967,0.05524272269592967
HSPB1,12429,PC10,-0.05482238754314794,0.05482238754314794
TRIB3,28571,PC10,0.05481392257113975,0.05481392257113975
YWHAE,26069,PC10,-0.054045570301386535,0.054045570301386535
SOD1,32398,PC10,-0.053432743368028994,0.053432743368028994
HMGN1,32526,PC10,-0.052996512117041414,0.052996512117041414
VAMP2,26318,PC10,-0.05281009010728083,0.05281009010728083
MIF,31708,PC10,-0.05276144380276453,0.05276144380276453
CHCHD10,31700,PC10,-0.052431607369990356,0.052431607369990356
DUSP1,9986,PC10,0.05240165918258587,0.05240165918258587
RPS4Y1,31420,PC10,0.05215717950496553,0.05215717950496553
