gene,gene_index,PC,loading,abs_loading
TFAP2A,10269,PC7,0.013743856784935485,0.013743856784935485
MT2A,25465,PC7,-0.01371047371006105,0.01371047371006105
LMO3,20366,PC7,-0.01371039614225813,0.01371039614225813
FOSL1,19182,PC7,0.013673794415065854,0.013673794415065854
ASPM,2565,PC7,0.013673185965846324,0.013673185965846324
UBE2C,29110,PC7,0.013655373393974005,0.013655373393974005
APLP1,30426,PC7,-0.01360365608321345,0.01360365608321345
NDRG1,15441,PC7,0.013594930012508496,0.013594930012508496
SFRP1,14727,PC7,-0.013583249717916173,0.013583249717916173
LINC01021,8713,PC7,-0.013550571834381086,0.013550571834381086
HES6,5325,PC7,-0.013499135654307083,0.013499135654307083
CA4,27448,PC7,-0.013483135631424188,0.013483135631424188
DNAJC15,21986,PC7,-0.013432745156247157,0.013432745156247157
EIF4EBP1,14680,PC7,0.013405202777183938,0.013405202777183938
ECM1,1835,PC7,-0.013387048667088598,0.013387048667088598
NSG1,7226,PC7,0.013369884850761226,0.013369884850761226
FTH1,18998,PC7,0.01334157281793197,0.01334157281793197
YBX3,20284,PC7,-0.013297089257890703,0.013297089257890703
ADRA2A,17920,PC7,-0.013271179850008,0.013271179850008
RPL22L1,6828,PC7,-0.013215997648321032,0.013215997648321032
MLLT11,1858,PC7,0.013210533054686823,0.013210533054686823
PPP1R17,12123,PC7,-0.013206260465321999,0.013206260465321999
DNAJA1,15820,PC7,-0.013196311528034412,0.013196311528034412
TPM4,30026,PC7,-0.013062342577840393,0.013062342577840393
ARHGAP11A,23594,PC7,0.013018369447039525,0.013018369447039525
FN1,5046,PC7,0.013008444463498766,0.013008444463498766
MT1X,25475,PC7,-0.012994168301007518,0.012994168301007518
CHCHD10,31700,PC7,0.012977572956506991,0.012977572956506991
CDKN2A,15775,PC7,0.012863315730179438,0.012863315730179438
EPB41,628,PC7,0.01286314586757432,0.01286314586757432
ANGPTL4,29735,PC7,-0.01285463060273476,0.01285463060273476
CKAP2,22085,PC7,0.012833261801392161,0.012833261801392161
SNAPC1,22904,PC7,-0.012784625219119192,0.012784625219119192
ASIC4,5147,PC7,0.012757978913951895,0.012757978913951895
MIR7-3HG,29604,PC7,-0.01273049725885759,0.01273049725885759
HSPH1,21908,PC7,-0.012717413031742151,0.012717413031742151
TUBB4B,16842,PC7,0.012686589248911402,0.012686589248911402
POMP,21880,PC7,-0.012639025207560618,0.012639025207560618
PLK3,910,PC7,0.012493904479994046,0.012493904479994046
NEUROD4,20828,PC7,0.012484850521783704,0.012484850521783704
SMPD3,25654,PC7,0.012481580672223958,0.012481580672223958
CLDN4,12396,PC7,-0.01247383258963797,0.01247383258963797
CPLX2,10024,PC7,0.01246357087922651,0.01246357087922651
CYBA,25974,PC7,-0.012421521179518034,0.012421521179518034
KLHDC8A,2689,PC7,0.012330575127014447,0.012330575127014447
SLC3A2,19048,PC7,0.012309619560089781,0.012309619560089781
U2AF1,32581,PC7,-0.012250343166836422,0.012250343166836422
FOSB,30788,PC7,0.012233996047418752,0.012233996047418752
GAL,19287,PC7,0.012205422243280481,0.012205422243280481
ZFP36,30566,PC7,0.012173959481187829,0.012173959481187829
CD70,29664,PC7,0.012170789684040843,0.012170789684040843
DEPDC1,1192,PC7,0.012141461382121709,0.012141461382121709
ACTL6B,12645,PC7,0.012097714496843647,0.012097714496843647
HILPDA,12876,PC7,-0.0120812419547012,0.0120812419547012
CDC20,878,PC7,-0.012018657949074509,0.012018657949074509
PLEKHA5,20377,PC7,0.01197903190098161,0.01197903190098161
