model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution
ridge,8,alpha=100.0,0.1531979301260264,0.0019702480498896367,0.18085265753531132,0.0020403237300284267,0.631844060947303,0.008284316700170737,0.014492753623188406,0.0034159747883408093,plain,False,flat,,
ridge,9,alpha=0.01,0.1322155804400956,0.0024238285862658573,0.1697163437454715,0.003270160602765946,0.6757166113087272,0.012437502450501438,0.0463768115942029,0.011432038228211818,plain,False,flat,,
ridge,9,alpha=0.1,0.13193743316869885,0.002488658090262255,0.16913901087967725,0.00325921422163825,0.6779191101400383,0.012350305486569334,0.0463768115942029,0.011432038228211818,plain,False,flat,,
ridge,9,alpha=1.0,0.13128773927689597,0.0027295122881901683,0.16706362568882632,0.003173421927884331,0.6857776369814083,0.011874354320187522,0.04710144927536232,0.01145752775423326,plain,False,flat,,
ridge,9,alpha=10.0,0.1334497354932456,0.0024027780434106027,0.16623418462797196,0.003085544967056648,0.6888945682533603,0.011546239929456779,0.04492753623188406,0.005716019114105911,plain,False,flat,,
ridge,9,alpha=100.0,0.15320077741439983,0.001974972544010621,0.180847455886396,0.0020866540506579902,0.6318632991320154,0.00847533978575363,0.014492753623188406,0.0034159747883408093,plain,False,flat,,
ridge,10,alpha=0.01,0.13328355967928907,0.002375565528533363,0.17127616824794156,0.0029712820766985754,0.6697492841189144,0.011366384628871498,0.04710144927536232,0.00919779360611583,plain,False,flat,,
ridge,10,alpha=0.1,0.13289546751662615,0.0024133346755315886,0.17056159675512006,0.0029879512635894935,0.6724974251835715,0.011378438937545525,0.04782608695652174,0.010361164536003487,plain,False,flat,,
ridge,10,alpha=1.0,0.13174811863709726,0.0026557395963599955,0.16798668119560076,0.00302002889429537,0.682306531825084,0.011329339701553993,0.04855072463768116,0.011857910829597659,plain,False,flat,,
ridge,10,alpha=10.0,0.13307131968483757,0.0023772290362586365,0.16667533049120256,0.0028892459861109437,0.6872535706243663,0.010811650618673684,0.042028985507246375,0.005716019114105912,plain,False,flat,,
ridge,10,alpha=100.0,0.15245658238977344,0.001816094197608393,0.18041801966685914,0.0018460276624986565,0.6336189373957373,0.0074773669113007216,0.014492753623188406,0.0034159747883408093,plain,False,flat,,
lasso,4,alpha=0.001,0.13331407307684467,0.0025254063257298632,0.16801849996975493,0.0031317205324353074,0.6821792454543878,0.011760460297540775,0.05,0.01104263715039851,plain,False,nested,50.0,"k=4,alpha=0.001 x7; k=6,alpha=0.001 x6; k=9,alpha=0.001 x6; k=3,alpha=0.01 x5; k=8,alpha=0.001 x5; k=5,alpha=0.001 x4; k=7,alpha=0.001 x3; k=3,alpha=0.001 x3; k=7,alpha=0.01 x3; k=10,alpha=0.01 x2; k=8,alpha=0.01 x2; k=4,alpha=0.01 x1; k=2,alpha=0.01 x1; k=2,alpha=0.001 x1; k=10,alpha=0.001 x1"
ridge,6,alpha=1.0,0.13379909790215233,0.003784614590650094,0.16954596052411236,0.0034026993737744132,0.6763582239359242,0.012999332709435952,0.04710144927536232,0.012895022043516077,plain,False,nested,50.0,"k=6,alpha=1.0 x4; k=4,alpha=0.01 x4; k=6,alpha=0.01 x3; k=5,alpha=0.01 x3; k=3,alpha=0.01 x3; k=9,alpha=0.1 x3; k=4,alpha=0.1 x2; k=7,alpha=1.0 x2; k=3,alpha=0.1 x2; k=5,alpha=0.1 x2; k=8,alpha=0.01 x2; k=9,alpha=1.0 x2; k=3,alpha=1.0 x2; k=10,alpha=10.0 x2; k=9,alpha=0.01 x2; k=3,alpha=10.0 x1; k=2,alpha=10.0 x1; k=7,alpha=0.1 x1; k=7,alpha=10.0 x1; k=5,alpha=1.0 x1; k=2,alpha=1.0 x1; k=6,alpha=0.1 x1; k=2,alpha=0.01 x1; k=8,alpha=1.0 x1; k=9,alpha=10.0 x1; k=10,alpha=0.01 x1; k=10,alpha=0.1 x1"
lasso,0,alpha=0.001,0.17020176674679338,0.0018370494070802617,0.20808646851159812,0.0021941674855132155,0.5126248159334799,0.01029772354819683,0.0572463768115942,0.004113378349257584,donor_grouped,False,flat,,
lasso,0,alpha=0.01,0.17186493901018196,0.0014064159974789651,0.2088043993731164,0.001702055726931798,0.5092757317618928,0.008013396528240064,0.053623188405797106,0.003742012894886392,donor_grouped,False,flat,,
lasso,0,alpha=0.1,0.195333517893112,0.0003842539480674072,0.2264699729248103,0.0005392495052667323,0.42276088998563177,0.002752079024482023,0.007246376811594203,0.0,donor_grouped,False,flat,,
lasso,0,alpha=1.0,0.2665449965127452,0.00023859876873452576,0.29876126887718263,0.00043996080660070586,-0.004573492186301586,0.0029604763507834033,0.0,0.0,donor_grouped,False,flat,,
lasso,0,alpha=10.0,0.2665449965127452,0.00023859876873452576,0.29876126887718263,0.00043996080660070586,-0.004573492186301586,0.0029604763507834033,0.0,0.0,donor_grouped,False,flat,,
lasso,1,alpha=0.001,0.1675525992316455,0.0020584633207234027,0.20360591403854858,0.0023233415473961168,0.5333793601689465,0.010663338083084811,0.06231884057971014,0.0037420128948863936,donor_grouped,False,flat,,
lasso,1,alpha=0.01,0.16738108829309345,0.0018669525748151047,0.20300636232218072,0.0021558661685618552,0.53613067627904,0.009858086472962291,0.052898550724637686,0.003500332547388752,donor_grouped,False,flat,,
