scheme,pool_correction,model,repeat,fold,selected_k,selected_param
loco,False,ridge,0,89,4,alpha=0.1
loco,False,lasso,0,89,3,alpha=0.01
loco,False,ridge,0,90,6,alpha=1.0
loco,False,lasso,0,90,3,alpha=0.01
loco,False,ridge,0,91,4,alpha=0.1
loco,False,lasso,0,91,7,alpha=0.01
loco,False,ridge,0,92,4,alpha=0.01
loco,False,lasso,0,92,4,alpha=0.001
loco,False,ridge,0,93,4,alpha=0.01
loco,False,lasso,0,93,4,alpha=0.01
loco,False,ridge,0,94,6,alpha=1.0
loco,False,lasso,0,94,10,alpha=0.01
loco,False,ridge,0,95,6,alpha=1.0
loco,False,lasso,0,95,6,alpha=0.001
loco,False,ridge,0,96,6,alpha=1.0
loco,False,lasso,0,96,10,alpha=0.01
loco,False,ridge,0,97,6,alpha=1.0
loco,False,lasso,0,97,10,alpha=0.01
loco,False,ridge,0,98,6,alpha=1.0
loco,False,lasso,0,98,7,alpha=0.01
loco,False,ridge,0,99,6,alpha=1.0
loco,False,lasso,0,99,6,alpha=0.001
loco,False,ridge,0,100,6,alpha=1.0
loco,False,lasso,0,100,6,alpha=0.001
loco,False,ridge,0,101,4,alpha=0.01
loco,False,lasso,0,101,10,alpha=0.01
loco,False,ridge,0,102,6,alpha=1.0
loco,False,lasso,0,102,7,alpha=0.01
loco,False,ridge,0,103,10,alpha=10.0
loco,False,lasso,0,103,7,alpha=0.01
loco,False,ridge,0,104,6,alpha=1.0
loco,False,lasso,0,104,7,alpha=0.01
loco,False,ridge,0,105,10,alpha=10.0
loco,False,lasso,0,105,7,alpha=0.01
loco,False,ridge,0,106,4,alpha=0.01
loco,False,lasso,0,106,10,alpha=0.01
loco,False,ridge,0,107,10,alpha=10.0
loco,False,lasso,0,107,10,alpha=0.01
loco,False,ridge,0,108,10,alpha=10.0
loco,False,lasso,0,108,7,alpha=0.01
loco,False,ridge,0,109,10,alpha=10.0
loco,False,lasso,0,109,7,alpha=0.01
loco,False,ridge,0,110,6,alpha=1.0
loco,False,lasso,0,110,7,alpha=0.01
loco,False,ridge,0,111,4,alpha=0.1
loco,False,lasso,0,111,4,alpha=0.001
loco,False,ridge,0,112,6,alpha=1.0
loco,False,lasso,0,112,7,alpha=0.01
loco,False,ridge,0,113,4,alpha=0.01
loco,False,lasso,0,113,4,alpha=0.001
loco,False,ridge,0,114,4,alpha=0.01
loco,False,lasso,0,114,4,alpha=0.001
loco,False,ridge,0,115,6,alpha=1.0
loco,False,lasso,0,115,7,alpha=0.01
loco,False,ridge,0,116,4,alpha=0.01
loco,False,lasso,0,116,10,alpha=0.01
loco,False,ridge,0,117,4,alpha=1.0
loco,False,lasso,0,117,10,alpha=0.01
loco,False,ridge,0,118,6,alpha=1.0
loco,False,lasso,0,118,7,alpha=0.01
loco,False,ridge,0,119,4,alpha=0.01
loco,False,lasso,0,119,4,alpha=0.001
loco,False,ridge,0,120,8,alpha=1.0
loco,False,lasso,0,120,7,alpha=0.01
loco,False,ridge,0,121,4,alpha=0.01
loco,False,lasso,0,121,5,alpha=0.01
loco,False,ridge,0,122,5,alpha=1.0
loco,False,lasso,0,122,10,alpha=0.01
loco,False,ridge,0,123,4,alpha=0.1
loco,False,lasso,0,123,4,alpha=0.01
loco,False,ridge,0,124,4,alpha=0.01
loco,False,lasso,0,124,10,alpha=0.01
loco,False,ridge,0,125,5,alpha=1.0
loco,False,lasso,0,125,7,alpha=0.01
loco,False,ridge,0,126,6,alpha=1.0
loco,False,lasso,0,126,10,alpha=0.01
loco,False,ridge,0,127,6,alpha=1.0
loco,False,lasso,0,127,10,alpha=0.01
loco,False,ridge,0,128,4,alpha=0.01
loco,False,lasso,0,128,4,alpha=0.001
loco,False,ridge,0,129,6,alpha=1.0
loco,False,lasso,0,129,10,alpha=0.01
loco,False,ridge,0,130,6,alpha=1.0
loco,False,lasso,0,130,7,alpha=0.01
loco,False,ridge,0,131,6,alpha=1.0
loco,False,lasso,0,131,6,alpha=0.001
loco,False,ridge,0,132,5,alpha=1.0
loco,False,lasso,0,132,4,alpha=0.001
loco,False,ridge,0,133,6,alpha=1.0
loco,False,lasso,0,133,6,alpha=0.001
loco,False,ridge,0,134,6,alpha=1.0
loco,False,lasso,0,134,5,alpha=0.001
loco,False,ridge,0,135,6,alpha=1.0
loco,False,lasso,0,135,5,alpha=0.001
loco,False,ridge,0,136,6,alpha=1.0
loco,False,lasso,0,136,5,alpha=0.001
loco,False,ridge,0,137,6,alpha=1.0
loco,False,lasso,0,137,6,alpha=0.001
lodo,False,ridge,0,0,2,alpha=0.01
lodo,False,lasso,0,0,2,alpha=0.001
lodo,False,ridge,0,1,4,alpha=0.01
lodo,False,lasso,0,1,4,alpha=0.001
lodo,False,ridge,0,2,9,alpha=0.1
lodo,False,lasso,0,2,8,alpha=0.001
lodo,False,ridge,0,3,8,alpha=1.0
lodo,False,lasso,0,3,8,alpha=0.001
lodo,False,ridge,0,4,8,alpha=1.0
lodo,False,lasso,0,4,8,alpha=0.001
lodo,False,ridge,0,5,8,alpha=1.0
lodo,False,lasso,0,5,8,alpha=0.001
lodo,False,ridge,0,6,8,alpha=1.0
lodo,False,lasso,0,6,8,alpha=0.001
lodo,False,ridge,0,7,10,alpha=1.0
lodo,False,lasso,0,7,10,alpha=0.001
lodo,False,ridge,0,8,6,alpha=0.1
lodo,False,lasso,0,8,6,alpha=0.001
lodo,False,ridge,0,9,5,alpha=0.1
lodo,False,lasso,0,9,3,alpha=0.01
lodo,False,ridge,0,10,6,alpha=0.01
lodo,False,lasso,0,10,6,alpha=0.001
lodo,False,ridge,0,11,5,alpha=0.01
lodo,False,lasso,0,11,5,alpha=0.001
lodo,False,ridge,0,12,10,alpha=10.0
lodo,False,lasso,0,12,3,alpha=0.01
lodo,False,ridge,0,13,6,alpha=1.0
lodo,False,lasso,0,13,6,alpha=0.001
lodo,False,ridge,0,14,8,alpha=1.0
lodo,False,lasso,0,14,8,alpha=0.001
lodo,False,ridge,0,15,6,alpha=0.1
lodo,False,lasso,0,15,6,alpha=0.001
lodo,False,ridge,0,16,6,alpha=1.0
lodo,False,lasso,0,16,4,alpha=0.01
lodo,False,ridge,0,17,3,alpha=0.01
lodo,False,lasso,0,17,3,alpha=0.001
lodo,False,ridge,0,18,3,alpha=0.01
lodo,False,lasso,0,18,3,alpha=0.001
lodo,False,ridge,0,19,6,alpha=1.0
lodo,False,lasso,0,19,6,alpha=0.001
