cell_line,n_pools,diff_efficiency,diff_efficiency_se
HPSI0314i-bubh_3,1.0,0.061016949152542375,0.008046045529646894
HPSI0314i-cuhk_2,1.0,0.15756663800515908,0.005341706966642643
HPSI0314i-hoik_1,1.0,0.0748775367389783,0.006962404853009894
HPSI0314i-qaqx_1,2.0,0.611244019138756,0.02297956708645301
HPSI0314i-sojd_3,2.0,0.0738207600655559,0.005489435366966108
HPSI0314i-uict_1,1.0,0.5095541401273885,0.03989705849400495
HPSI0314i-xagu_1,1.0,0.35185185185185186,0.06498605636771093
HPSI0314i-xugn_2,1.0,0.0440552016985138,0.004727968287803562
HPSI0414i-ceik_1,1.0,0.11261261261261261,0.015002328054562026
HPSI0414i-gesg_2,1.0,0.06072874493927125,0.015196521613157356
HPSI0414i-mita_1,1.0,0.011923537947132672,0.000862123558701701
HPSI0414i-oaqd_2,1.0,0.02346041055718475,0.005795895465147936
HPSI0414i-sebn_3,1.0,0.4052401746724891,0.010259101306093522
HPSI0414i-uawq_2,1.0,0.628064032016008,0.007643894000029864
HPSI0414i-xojn_3,2.0,0.7078166369481818,0.011170274362203863
HPSI0513i-dipe_1,1.0,0.8568443051201672,0.011321378317347162
HPSI0513i-fejf_2,1.0,0.22746331236897274,0.01357191243038109
HPSI0513i-giuf_1,1.0,0.75,0.03227486121839514
HPSI0513i-momt_2,1.0,0.569212759730758,0.00847122544198094
HPSI0513i-oibg_1,1.0,0.061755624172915746,0.005055574127197919
HPSI0513i-sucd_3,1.0,0.8657243816254417,0.01013363346024589
HPSI0513i-uoxz_4,1.0,0.8505477308294209,0.009973214848061275
HPSI0513i-veve_2,1.0,0.6763754045307443,0.01330777435007831
HPSI0514i-fiaj_1,2.0,0.06109600101287922,0.0014265233126256915
HPSI0514i-lako_1,2.0,0.8209185361275233,0.004707970573451797
HPSI0514i-naah_2,1.0,0.8536082474226804,0.01605154116984207
HPSI0514i-oekw_2,1.0,0.27983193277310925,0.013013439148249371
HPSI0514i-oupf_6,1.0,0.6005221932114883,0.02502715437405017
HPSI0514i-qihv_1,1.0,0.1774193548387097,0.012966712405521998
HPSI0514i-rutc_2,1.0,0.9011815252416756,0.009780259376647612
HPSI0514i-sohd_2,1.0,0.6689655172413793,0.017477104391405155
HPSI0514i-suul_1,1.0,0.6967741935483871,0.03692013322184243
HPSI0514i-tert_1,1.0,0.7517433751743375,0.011408029942974364
