cell_line,dopa_eff_neuron_denom,dopa_share_of_target,authors_diff_eff
HPSI0614i-uevq_6,0.23513328776486672,0.5657894736842105,0.05864763190894184
HPSI0614i-voce_1,0.29245283018867924,0.31958762886597936,0.15721231766612642
HPSI0614i-wihj_4,0.8376005852231163,0.8733790999237223,0.755184331797235
HPSI0714i-burb_1,0.40793095499599996,0.8827561327561327,0.11320092115633279
HPSI0714i-iudw_1,0.4179523141654979,0.691415313225058,0.38898916967509023
HPSI0714i-keui_4,0.48237476808905383,0.9811320754716981,0.07803297997644287
HPSI0714i-kute_5,0.26666666666666666,0.6666666666666666,0.15
HPSI0714i-oatm_1,0.1875,0.21052631578947367,0.11801242236024845
HPSI0714i-pipw_4,0.39593047901653244,0.4130915524104379,0.6765409934171155
HPSI0715i-aowh_2,0.09723698193411265,0.0992407809110629,0.6268910419853816
HPSI0715i-meue_5,0.3060022922212363,0.3281971992494779,0.7322568612485689
HPSI0715i-zaie_5,0.29238754325259514,0.3353174603174603,0.6553966189856957
HPSI0814i-bokz_6,0.18309859154929578,0.1989795918367347,0.8340425531914893
HPSI0814i-siqu_4,0.7927063339731286,0.8978260869565218,0.7890222984562607
HPSI0913i-eika_2,0.625,0.625,0.5333333333333333
HPSI0914i-iezw_2,0.8378378378378378,1.0,0.2740331491712707
HPSI0914i-jejf_2,0.5107692307692308,0.5220125786163522,0.8676671214188267
HPSI0914i-kajh_2,0.5689655172413793,0.5789473684210527,0.75
HPSI0914i-laey_6,0.31241765480895917,0.34879954268292684,0.5893388921977367
HPSI0914i-ouvb_2,0.5138656799554389,0.5346227454619266,0.6421618562535371
HPSI0914i-rejf_2,0.07860262008733625,0.782608695652174,0.037096774193548385
HPSI0914i-suop_5,0.38903394255874674,0.40710382513661203,0.8693586698337292
HPSI0914i-vaka_5,0.3707647628267183,0.39241803278688525,0.4678811121764142
HPSI0914i-yuvg_2,0.710691823899371,0.7687074829931972,0.6591928251121076
HPSI0914i-zerv_7,0.6526116427432217,0.6998432601880877,0.5016447368421053
HPSI1013i-garx_2,0.10135708227311281,0.4500941619585687,0.16552369077306733
HPSI1013i-hiaf_1,0.2554378037190453,0.3327186836166478,0.5081284963950103
HPSI1013i-jogf_2,0.38461538461538464,0.5555555555555556,0.036885245901639344
HPSI1013i-sita_1,0.1111111111111111,0.85,0.031496062992125984
HPSI1013i-woci_1,0.08235294117647059,0.08454106280193237,0.7446043165467626
HPSI1013i-wopl_2,0.08823529411764706,0.5,0.02962962962962963
HPSI1013i-zagm_1,0.16666666666666666,0.16666666666666666,0.8181818181818182
HPSI1014i-babz_3,0.13074204946996468,0.1344232515894641,0.7322913202527436
HPSI1014i-bilx_1,0.09302325581395349,1.0,0.04938271604938271
HPSI1014i-eesb_1,0.584632768361582,0.614927501782743,0.5303832576903681
HPSI1014i-kefb_1,0.3333333333333333,0.9,0.0425531914893617
HPSI1014i-nosn_1,0.16666666666666666,0.18181818181818182,0.4230769230769231
HPSI1014i-qayj_4,0.4313286231259693,0.44434581927924727,0.8468129885748648
HPSI1014i-quls_2,0.24390243902439024,0.9333333333333333,0.01972127267946358
HPSI1014i-roug_3,0.30010338207059517,0.31621537503890446,0.86732352544203
HPSI1014i-sehl_6,0.06815834767641997,0.07236842105263158,0.8702290076335878
HPSI1014i-tixi_4,0.7659574468085106,0.8089887640449438,0.39293598233995586
HPSI1014i-tuju_1,0.3548387096774194,0.6470588235294118,0.02
HPSI1014i-vils_1,0.5645569620253165,0.6389684813753582,0.3187214611872146
HPSI1113i-hayt_3,0.4633596392333709,0.5067817509247842,0.2584448693435309
HPSI1113i-ieki_3,0.14285714285714285,0.14444444444444443,0.5454545454545454
HPSI1113i-podx_1,0.773531089560753,0.8129496402877698,0.6970330129544505
HPSI1113i-qolg_1,0.23943661971830985,0.2463768115942029,0.6388888888888888
HPSI1113i-vuud_2,0.49033816425120774,0.5152284263959391,0.5920360631104433
HPSI1114i-kuul_1,0.4537959348499125,0.47567642544620103,0.6297668420582413
HPSI1114i-ualf_6,0.11666666666666667,0.1206896551724138,0.5829145728643216
HPSI1213i-hehd_1,0.5426507905524107,0.5664616085668717,0.7991140663771712
