model,k,param_str,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,frac_out_of_range_mean,frac_out_of_range_std,scheme,pool_correction,tuning,n_outer_folds,selection_distribution,fold_features,label_variant
ridge,10,alpha=0.01,0.1007818602151972,0.001816593047781,0.132145669578599,0.0027365896189988,0.5175727515081487,0.0199815741592823,0.0845588235294117,0.0105420652782385,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,10,alpha=0.1,0.1001263087207071,0.0017187186006788,0.1321787973292366,0.0026565861201618,0.5173416579765806,0.0193974600605712,0.0838235294117647,0.0105135346027094,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,10,alpha=1.0,0.0993459075903147,0.0018621941060161,0.1340390815605704,0.0025763751661553,0.5036755928892813,0.0190745491005549,0.0654411764705882,0.0073119773971452,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,10,alpha=10.0,0.0991063698479382,0.0015168888329044,0.1347643563339836,0.0019476055418788,0.4983624071097695,0.0145080763591515,0.0455882352941176,0.004650408323777,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,10,alpha=100.0,0.1093192643988922,0.0007674669584216,0.1414614439855717,0.0011364943269634,0.4473377943744887,0.008885940838261,0.0073529411764705,0.0,donor_grouped,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,9,alpha=0.001,0.0997472831553007,0.0014729557203856,0.1342861421198413,0.0030635446507201,0.5017765776690577,0.0229462780276175,0.0514705882352941,0.0114961170583907,donor_grouped,False,nested,50.0,"k=9,alpha=0.001 x11; k=4,alpha=0.01 x7; k=8,alpha=0.001 x5; k=6,alpha=0.01 x4; k=3,alpha=0.01 x4; k=9,alpha=0.01 x4; k=8,alpha=0.01 x3; k=7,alpha=0.001 x3; k=7,alpha=0.01 x3; k=5,alpha=0.001 x2; k=4,alpha=0.001 x2; k=6,alpha=0.001 x1; k=10,alpha=0.001 x1",fold_features_D11_qualonly_da_untreated.csv,da_untreated
ridge,5,alpha=10.0,0.0993385496610541,0.0012818694569666,0.1340783722675128,0.0020526261577144,0.5034449306193329,0.0151561023393583,0.0573529411764705,0.0083477384146698,donor_grouped,False,nested,50.0,"k=5,alpha=10.0 x9; k=8,alpha=10.0 x8; k=7,alpha=10.0 x6; k=4,alpha=10.0 x6; k=10,alpha=10.0 x4; k=6,alpha=10.0 x3; k=8,alpha=1.0 x3; k=9,alpha=1.0 x2; k=10,alpha=0.1 x2; k=7,alpha=1.0 x2; k=9,alpha=0.1 x1; k=10,alpha=1.0 x1; k=9,alpha=0.01 x1; k=2,alpha=10.0 x1; k=4,alpha=1.0 x1",fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=0.001,0.1304484578748921,,0.1648094060866342,,0.2498944938091062,,0.0367647058823529,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=0.01,0.1305788266298854,,0.1656590810744861,,0.2421402178781853,,0.0220588235294117,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=0.1,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=1.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,0,alpha=10.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=0.001,0.1233295798601717,,0.1597662301123051,,0.2950986538961542,,0.0441176470588235,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=0.01,0.1241452421400531,,0.1602165570434413,,0.2911192969052436,,0.0147058823529411,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=0.1,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=1.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,1,alpha=10.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=0.001,0.1061865024332219,,0.1426369400837949,,0.4381474039198022,,0.0294117647058823,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=0.01,0.1145646509426474,,0.1499615569804115,,0.3789618971909964,,0.0441176470588235,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=0.1,0.1494800820605144,,0.1825689786986437,,0.0795242807927888,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=1.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,2,alpha=10.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,3,alpha=0.001,0.1020156543830495,,0.1345462827382783,,0.500078549448529,,0.0514705882352941,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,3,alpha=0.01,0.0996876221935888,,0.1328127536798109,,0.5128777946173102,,0.0294117647058823,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,3,alpha=0.1,0.1434014434677683,,0.1758408163766779,,0.1461182184860479,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,3,alpha=1.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,3,alpha=10.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,4,alpha=0.001,0.1004871457925162,,0.1317869339061516,,0.5203736078679346,,0.0661764705882353,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,4,alpha=0.01,0.0988224365375463,,0.1322938744378164,,0.5166765842807124,,0.0220588235294117,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,4,alpha=0.1,0.1434014434677683,,0.1758408163766779,,0.1461182184860479,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,4,alpha=1.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,4,alpha=10.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,5,alpha=0.001,0.0996958041197738,,0.1315572813975352,,0.522043749652205,,0.0661764705882353,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,5,alpha=0.01,0.0990646778840269,,0.1326688797606865,,0.513932606272177,,0.0220588235294117,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,5,alpha=0.1,0.1434014434677683,,0.1758408163766779,,0.1461182184860479,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,5,alpha=1.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,5,alpha=10.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,6,alpha=0.001,0.0977319049157441,,0.1300401493588382,,0.5330038673742596,,0.0661764705882353,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,6,alpha=0.01,0.0991115879922969,,0.1326727921821671,,0.5139039374757514,,0.0294117647058823,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,6,alpha=0.1,0.1434014434677683,,0.1758408163766779,,0.1461182184860479,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,6,alpha=1.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
lasso,6,alpha=10.0,0.1591166093763587,,0.191701697045801,,-0.0148696844993141,,0.0,,loco,False,flat,,,fold_features_D11_qualonly_da_untreated.csv,da_untreated
