scheme,pool_correction,model,repeat,fold,selected_k,selected_param
loco,False,logistic_l1,0,125,8,C=100.0
loco,False,logistic_l2,0,126,10,C=100.0
loco,False,logistic_l1,0,126,8,C=100.0
loco,False,logistic_l2,0,127,10,C=100.0
loco,False,logistic_l1,0,127,10,C=100.0
loco,False,logistic_l2,0,128,6,C=0.1
loco,False,logistic_l1,0,128,8,C=1.0
loco,False,logistic_l2,0,129,9,C=0.01
loco,False,logistic_l1,0,129,3,C=1.0
loco,False,logistic_l2,0,130,8,C=0.01
loco,False,logistic_l1,0,130,3,C=100.0
loco,False,logistic_l2,0,131,9,C=0.01
loco,False,logistic_l1,0,131,3,C=100.0
loco,False,logistic_l2,0,132,10,C=0.1
loco,False,logistic_l1,0,132,3,C=1.0
loco,False,logistic_l2,0,133,10,C=0.01
loco,False,logistic_l1,0,133,3,C=100.0
loco,False,logistic_l2,0,134,10,C=0.01
loco,False,logistic_l1,0,134,3,C=100.0
loco,False,logistic_l2,0,135,10,C=0.01
loco,False,logistic_l1,0,135,10,C=100.0
loco,False,logistic_l2,0,136,10,C=0.01
loco,False,logistic_l1,0,136,10,C=100.0
loco,False,logistic_l2,0,137,10,C=0.01
loco,False,logistic_l1,0,137,3,C=1.0
lodo,False,logistic_l2,0,0,8,C=0.1
lodo,False,logistic_l1,0,0,2,C=0.1
lodo,False,logistic_l2,0,1,6,C=0.01
lodo,False,logistic_l1,0,1,3,C=1.0
lodo,False,logistic_l2,0,2,4,C=0.01
lodo,False,logistic_l1,0,2,0,C=0.1
lodo,False,logistic_l2,0,3,4,C=100.0
lodo,False,logistic_l1,0,3,6,C=1.0
lodo,False,logistic_l2,0,4,8,C=0.01
lodo,False,logistic_l1,0,4,4,C=1.0
lodo,False,logistic_l2,0,5,9,C=1.0
lodo,False,logistic_l1,0,5,4,C=1.0
lodo,False,logistic_l2,0,6,9,C=0.1
lodo,False,logistic_l1,0,6,4,C=0.1
lodo,False,logistic_l2,0,7,2,C=10.0
lodo,False,logistic_l1,0,7,2,C=10.0
lodo,False,logistic_l2,0,8,10,C=0.01
lodo,False,logistic_l1,0,8,2,C=0.1
lodo,False,logistic_l2,0,9,7,C=100.0
lodo,False,logistic_l1,0,9,7,C=100.0
lodo,False,logistic_l2,0,10,5,C=100.0
lodo,False,logistic_l1,0,10,5,C=100.0
lodo,False,logistic_l2,0,11,7,C=100.0
lodo,False,logistic_l1,0,11,7,C=100.0
lodo,False,logistic_l2,0,12,3,C=100.0
lodo,False,logistic_l1,0,12,3,C=100.0
lodo,False,logistic_l2,0,13,10,C=100.0
lodo,False,logistic_l1,0,13,10,C=100.0
lodo,False,logistic_l2,0,14,8,C=1.0
lodo,False,logistic_l1,0,14,2,C=0.1
lodo,False,logistic_l2,0,15,8,C=0.01
lodo,False,logistic_l1,0,15,8,C=1.0
lodo,False,logistic_l2,0,16,9,C=0.1
lodo,False,logistic_l1,0,16,2,C=0.1
lodo,False,logistic_l2,0,17,8,C=0.01
lodo,False,logistic_l1,0,17,3,C=1.0
lodo,False,logistic_l2,0,18,3,C=100.0
lodo,False,logistic_l1,0,18,4,C=0.1
lodo,False,logistic_l2,0,19,10,C=0.01
lodo,False,logistic_l1,0,19,3,C=1.0
