cell_line,da_over_all,sert_over_all,da_sert_over_all,n_cells
HPSI0214i-giju_3,0.17369727047146402,0.6228287841191067,0.7965260545905707,1209.0
HPSI0214i-heth_1,0.020594965675057208,0.006864988558352402,0.02745995423340961,437.0
HPSI0214i-pelm_3,0.18918847649812115,0.4198192952000058,0.609007771698127,3899.5
HPSI0214i-poih_2,0.5590986394557823,0.17899659863945577,0.7380952380952381,2352.0
HPSI0214i-rayr_1,0.5501618122977346,0.15857605177993528,0.7087378640776699,309.0
HPSI0215i-deyz_2,0.2507235890014472,0.3464182344428365,0.5971418234442837,5528.0
HPSI0215i-fawm_2,0.3054393305439331,0.4881450488145049,0.793584379358438,717.0
HPSI0215i-hipn_1,0.2769058295964126,0.1382837583251519,0.41518958792156446,561.0
HPSI0215i-oilg_1,0.05901116427432217,0.023923444976076555,0.08293460925039872,627.0
HPSI0215i-romx_1,0.053809270111880664,0.024507192328183273,0.07831646244006393,1877.0
HPSI0215i-uiao_2,0.13857998289136014,0.19760479041916168,0.3361847733105218,2338.0
HPSI0215i-yoch_6,0.02148997134670487,0.017191977077363897,0.03868194842406877,698.0
HPSI0215i-zett_5,0.051653071695459976,0.7896159400839451,0.8412690117794052,4387.5
HPSI0314i-bubh_3,0.04770992366412214,0.02099236641221374,0.06870229007633588,524.0
HPSI0314i-cuhk_2,0.11141181777176365,0.054578258908434825,0.16599007668019847,2217.0
HPSI0314i-hoik_1,0.06940371456500488,0.009775171065493646,0.07917888563049853,1023.0
HPSI0314i-qaqx_1,0.2801841560422796,0.34235044132069303,0.6225345973629727,135.5
HPSI0314i-sojd_3,0.07810606060606061,0.018477011494252876,0.09658307210031347,1307.5
HPSI0314i-uict_1,0.16666666666666666,0.40625,0.5729166666666666,96.0
HPSI0314i-xagu_1,0.06896551724137931,0.41379310344827586,0.4827586206896552,29.0
HPSI0314i-xugn_2,0.02865995352439969,0.012393493415956624,0.041053446940356314,1291.0
HPSI0414i-ceik_1,0.1,0.04090909090909091,0.1409090909090909,220.0
HPSI0414i-gesg_2,0.04895104895104895,0.02097902097902098,0.06993006993006994,143.0
HPSI0414i-mita_1,0.01328986960882648,0.004638916750250752,0.017928786359077232,7976.0
HPSI0414i-oaqd_2,0.021929824561403508,0.0,0.021929824561403508,456.0
HPSI0414i-sebn_3,0.2360248447204969,0.19185645272601795,0.4278812974465148,1449.0
HPSI0414i-uawq_2,0.08876881512929372,0.5434195291393284,0.6321883442686221,2591.0
HPSI0414i-xojn_3,0.5289510006901311,0.1885323211410168,0.7174833218311479,610.5
HPSI0513i-dipe_1,0.3136842105263158,0.5347368421052632,0.848421052631579,475.0
HPSI0513i-fejf_2,0.2478813559322034,0.02754237288135593,0.2754237288135593,472.0
HPSI0513i-giuf_1,0.7416666666666667,0.025,0.7666666666666667,120.0
HPSI0513i-momt_2,0.38653084323712505,0.1731748726655348,0.5597057159026598,1767.0
HPSI0513i-oibg_1,0.07019328585961343,0.001017293997965412,0.07121057985757884,983.0
HPSI0513i-sucd_3,0.4974182444061962,0.3769363166953528,0.8743545611015491,581.0
HPSI0513i-uoxz_4,0.6226685796269728,0.2223816355810617,0.8450502152080345,697.0
HPSI0513i-veve_2,0.7190860215053764,0.01478494623655914,0.7338709677419355,744.0
HPSI0514i-fiaj_1,0.0806708584312553,0.0008762170062704661,0.08154707543752576,9158.0
HPSI0514i-lako_1,0.18351851768927674,0.6365144603624417,0.8200329780517184,2072.0
HPSI0514i-naah_2,0.46130952380952384,0.40476190476190477,0.8660714285714286,336.0
