cell_line,celltype,n_pools,phat,se
HPSI0513i-dipe_1,FPP,1.0,0.3209549071618037,0.02404366357080383
HPSI0513i-dipe_1,NB,1.0,0.0,0.0
HPSI0513i-dipe_1,P_FPP,1.0,0.6790450928381963,0.02404366357080383
HPSI0513i-fejf_2,FPP,1.0,0.285140562248996,0.02023136367929608
HPSI0513i-fejf_2,NB,1.0,0.12048192771084337,0.014587090128105292
HPSI0513i-fejf_2,P_FPP,1.0,0.5943775100401606,0.022002778466325375
HPSI0513i-giuf_1,FPP,1.0,0.2835249042145594,0.027898181933422857
HPSI0513i-giuf_1,NB,1.0,0.0,0.0
HPSI0513i-giuf_1,P_FPP,1.0,0.7164750957854407,0.027898181933422854
HPSI0513i-momt_2,FPP,1.0,0.3013136288998358,0.01314700656268006
HPSI0513i-momt_2,NB,1.0,0.004105090311986864,0.001832080153611971
HPSI0513i-momt_2,P_FPP,1.0,0.6945812807881774,0.01319731914007857
HPSI0513i-oibg_1,FPP,1.0,0.24722222222222223,0.02273661969536078
HPSI0513i-oibg_1,NB,1.0,0.21666666666666667,0.021712913606514225
HPSI0513i-oibg_1,P_FPP,1.0,0.5361111111111111,0.026283496493592122
HPSI0513i-sucd_3,FPP,1.0,0.34290540540540543,0.01950923587364664
HPSI0513i-sucd_3,NB,1.0,0.005067567567567568,0.002918338836574724
HPSI0513i-sucd_3,P_FPP,1.0,0.652027027027027,0.019576935160866636
HPSI0513i-uoxz_4,FPP,1.0,0.3205944798301486,0.015206074162513652
HPSI0513i-uoxz_4,NB,1.0,0.0021231422505307855,0.0014996937116572454
HPSI0513i-uoxz_4,P_FPP,1.0,0.6772823779193206,0.015232485625897548
HPSI0513i-veve_2,FPP,1.0,0.33642261353104724,0.014383933171780819
HPSI0513i-veve_2,NB,1.0,0.021316033364226137,0.004397073346942104
HPSI0513i-veve_2,P_FPP,1.0,0.6422613531047267,0.014592446260685803
HPSI0514i-fiaj_1,FPP,2.0,0.5614400701273179,0.006018749544746736
HPSI0514i-fiaj_1,NB,2.0,0.12738746050036406,0.004147623463717042
HPSI0514i-fiaj_1,P_FPP,2.0,0.3111724693723181,0.005549059474434368
HPSI0514i-lako_1,FPP,2.0,0.5651739429912058,0.012145099493859142
HPSI0514i-lako_1,NB,2.0,0.004113687359760658,0.0012352105662584883
HPSI0514i-lako_1,P_FPP,2.0,0.43071236964903353,0.012134009748341883
HPSI0514i-naah_2,FPP,1.0,0.6702127659574468,0.04849079911684885
